start_time_utc,power
2025-06-09 01:00:00+00:00,5129.882359586405
2025-06-09 01:15:00+00:00,4886.080548986284
2025-06-09 01:30:00+00:00,4643.022244703767
2025-06-09 01:45:00+00:00,4366.9960273184715
2025-06-09 02:00:00+00:00,4107.010538457811
2025-06-09 02:15:00+00:00,3885.686622092235
2025-06-09 02:30:00+00:00,3675.210803712378
2025-06-09 02:45:00+00:00,3463.684974595042
2025-06-09 03:00:00+00:00,3261.6782622687515
2025-06-09 03:15:00+00:00,3063.1264632440807
2025-06-09 03:30:00+00:00,2874.47367524993
2025-06-09 03:45:00+00:00,2687.0878186458417
2025-06-09 04:00:00+00:00,2509.9444701723087
2025-06-09 04:15:00+00:00,2494.008929794622
2025-06-09 04:30:00+00:00,2474.239704262192
2025-06-09 04:45:00+00:00,2485.7030984063795
2025-06-09 05:00:00+00:00,2483.9071234532166
2025-06-09 05:15:00+00:00,2701.1503267440057
2025-06-09 05:30:00+00:00,2922.2962324957643
2025-06-09 05:45:00+00:00,3159.8318683622433
2025-06-09 06:00:00+00:00,3365.4502117609627
2025-06-09 06:15:00+00:00,3329.365525331428
2025-06-09 06:30:00+00:00,3189.2576231514745
2025-06-09 06:45:00+00:00,3043.2888048925633
2025-06-09 07:00:00+00:00,2855.716612287499
2025-06-09 07:15:00+00:00,2576.9206633983094
2025-06-09 07:30:00+00:00,2286.105114212499
2025-06-09 07:45:00+00:00,2082.878076188691
2025-06-09 08:00:00+00:00,1865.3529920548879
2025-06-09 08:15:00+00:00,1556.7805169173891
2025-06-09 08:30:00+00:00,1383.0084133383011
2025-06-09 08:45:00+00:00,1273.8029310509964
2025-06-09 09:00:00+00:00,1152.6354056813616
2025-06-09 09:15:00+00:00,1162.281890810333
2025-06-09 09:30:00+00:00,1190.5440846227066
2025-06-09 09:45:00+00:00,1237.1184480204256
2025-06-09 10:00:00+00:00,1347.0947883515064
2025-06-09 10:15:00+00:00,1301.3623701525653
2025-06-09 10:30:00+00:00,1305.0050091559858
2025-06-09 10:45:00+00:00,1300.7633000299634
2025-06-09 11:00:00+00:00,1292.857281053634
2025-06-09 11:15:00+00:00,1323.0547699501458
2025-06-09 11:30:00+00:00,1350.245855307664
2025-06-09 11:45:00+00:00,1372.9957965885199
2025-06-09 12:00:00+00:00,1395.6798491479656
2025-06-09 12:15:00+00:00,1432.7283628754517
2025-06-09 12:30:00+00:00,1464.121510560078
2025-06-09 12:45:00+00:00,1490.1014920404102
2025-06-09 13:00:00+00:00,1511.1272111750814
2025-06-09 13:15:00+00:00,1547.8095810086688
2025-06-09 13:30:00+00:00,1576.7056923792086
2025-06-09 13:45:00+00:00,1609.382793781057
2025-06-09 14:00:00+00:00,1642.2973167553112
2025-06-09 14:15:00+00:00,1669.670539857289
2025-06-09 14:30:00+00:00,1697.0102956330775
2025-06-09 14:45:00+00:00,1690.0230052514714
2025-06-09 15:00:00+00:00,1671.18311342998
2025-06-09 15:15:00+00:00,1592.6198951338392
2025-06-09 15:30:00+00:00,1517.2989653645889
2025-06-09 15:45:00+00:00,1429.5263167259197
2025-06-09 16:00:00+00:00,1331.8227993620665
2025-06-09 16:15:00+00:00,1195.2139263015881
2025-06-09 16:30:00+00:00,1071.0472324971824
2025-06-09 16:45:00+00:00,958.1531288027525
2025-06-09 17:00:00+00:00,853.8802987141182
2025-06-09 17:15:00+00:00,795.2497458395598
2025-06-09 17:30:00+00:00,768.1695419103316
2025-06-09 17:45:00+00:00,734.5095850312838
