# Private Trades - 2025-06-08 - 2025-06-09T00:05:16.000Z;;;;;;;;
TradeId;Side;DeliveryStart;DeliveryEnd;ExecutionTime;Price;Currency;Volume;VolumeUnit
2043267323;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 22:18:58.202000+00:00;65.27;EUR;0.1;MWH
2043239060;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 21:39:07.497000+00:00;68.39;EUR;0.1;MWH
2043273500;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 22:26:36.656000+00:00;70.67;EUR;0.1;MWH
2043238630;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 21:38:34.356000+00:00;69.4;EUR;0.1;MWH
2043238335;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 21:38:18.241000+00:00;69.39;EUR;0.1;MWH
2043237950;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 21:38:03.123000+00:00;68.92;EUR;0.1;MWH
2043237847;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 21:37:52.588000+00:00;69.34;EUR;0.1;MWH
2043221373;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 21:13:40.559000+00:00;71.8;EUR;0.1;MWH
2043173171;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 20:24:32.335000+00:00;73.46;EUR;0.1;MWH
2043230694;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 21:27:07.708000+00:00;71.3;EUR;0.1;MWH
2043169614;SELL;2025-06-08 00:00:00+00:00;2025-06-08 01:00:00+00:00;2025-06-07 20:21:41.515000+00:00;71.25;EUR;0.1;MWH
