delivery_start__utc_,delivery_end__utc_,price__euro_per_mwh_
2025-06-10 06:00:00.000000 UTC,2025-06-10 06:15:00.000000 UTC,99.29
2025-06-10 06:15:00.000000 UTC,2025-06-10 06:30:00.000000 UTC,78.09
2025-06-10 06:30:00.000000 UTC,2025-06-10 06:45:00.000000 UTC,61.25
2025-06-10 06:45:00.000000 UTC,2025-06-10 07:00:00.000000 UTC,55.89
2025-06-10 07:00:00.000000 UTC,2025-06-10 07:15:00.000000 UTC,118.41
2025-06-10 07:15:00.000000 UTC,2025-06-10 07:30:00.000000 UTC,127.76
2025-06-10 07:30:00.000000 UTC,2025-06-10 07:45:00.000000 UTC,48.63
2025-06-10 07:45:00.000000 UTC,2025-06-10 08:00:00.000000 UTC,43.9
2025-06-10 08:00:00.000000 UTC,2025-06-10 08:15:00.000000 UTC,66.32
2025-06-10 08:15:00.000000 UTC,2025-06-10 08:30:00.000000 UTC,44.25
2025-06-10 08:30:00.000000 UTC,2025-06-10 08:45:00.000000 UTC,24.65
2025-06-10 08:45:00.000000 UTC,2025-06-10 09:00:00.000000 UTC,-12.07
2025-06-10 09:00:00.000000 UTC,2025-06-10 09:15:00.000000 UTC,59.21
2025-06-10 09:15:00.000000 UTC,2025-06-10 09:30:00.000000 UTC,26.5
2025-06-10 09:30:00.000000 UTC,2025-06-10 09:45:00.000000 UTC,25.46
2025-06-10 09:45:00.000000 UTC,2025-06-10 10:00:00.000000 UTC,-0.16
2025-06-10 10:00:00.000000 UTC,2025-06-10 10:15:00.000000 UTC,22.03
2025-06-10 10:15:00.000000 UTC,2025-06-10 10:30:00.000000 UTC,4.43
2025-06-10 10:30:00.000000 UTC,2025-06-10 10:45:00.000000 UTC,-11.44
2025-06-10 10:45:00.000000 UTC,2025-06-10 11:00:00.000000 UTC,-13.2
2025-06-10 11:00:00.000000 UTC,2025-06-10 11:15:00.000000 UTC,-17.49
2025-06-10 11:15:00.000000 UTC,2025-06-10 11:30:00.000000 UTC,-22.91
2025-06-10 11:30:00.000000 UTC,2025-06-10 11:45:00.000000 UTC,-15.18
2025-06-10 11:45:00.000000 UTC,2025-06-10 12:00:00.000000 UTC,-52.02
2025-06-10 12:00:00.000000 UTC,2025-06-10 12:15:00.000000 UTC,-16.52
2025-06-10 12:15:00.000000 UTC,2025-06-10 12:30:00.000000 UTC,-18.86
2025-06-10 12:30:00.000000 UTC,2025-06-10 12:45:00.000000 UTC,-9.58
2025-06-10 12:45:00.000000 UTC,2025-06-10 13:00:00.000000 UTC,0.15
2025-06-10 13:00:00.000000 UTC,2025-06-10 13:15:00.000000 UTC,-27.15
2025-06-10 13:15:00.000000 UTC,2025-06-10 13:30:00.000000 UTC,0.04
2025-06-10 13:30:00.000000 UTC,2025-06-10 13:45:00.000000 UTC,8.76
2025-06-10 13:45:00.000000 UTC,2025-06-10 14:00:00.000000 UTC,4.21
2025-06-10 14:00:00.000000 UTC,2025-06-10 14:15:00.000000 UTC,-17.17
2025-06-10 14:15:00.000000 UTC,2025-06-10 14:30:00.000000 UTC,-0.14
2025-06-10 14:30:00.000000 UTC,2025-06-10 14:45:00.000000 UTC,37.83
2025-06-10 14:45:00.000000 UTC,2025-06-10 15:00:00.000000 UTC,62.99
2025-06-10 15:00:00.000000 UTC,2025-06-10 15:15:00.000000 UTC,49.32
2025-06-10 15:15:00.000000 UTC,2025-06-10 15:30:00.000000 UTC,65.61
2025-06-10 15:30:00.000000 UTC,2025-06-10 15:45:00.000000 UTC,84.84
2025-06-10 15:45:00.000000 UTC,2025-06-10 16:00:00.000000 UTC,92.33
2025-06-10 16:00:00.000000 UTC,2025-06-10 16:15:00.000000 UTC,84.4
2025-06-10 16:15:00.000000 UTC,2025-06-10 16:30:00.000000 UTC,105.75
2025-06-10 16:30:00.000000 UTC,2025-06-10 16:45:00.000000 UTC,102.01
2025-06-10 16:45:00.000000 UTC,2025-06-10 17:00:00.000000 UTC,153.91
2025-06-10 17:00:00.000000 UTC,2025-06-10 17:15:00.000000 UTC,107.14
2025-06-10 17:15:00.000000 UTC,2025-06-10 17:30:00.000000 UTC,123.81
2025-06-10 17:30:00.000000 UTC,2025-06-10 17:45:00.000000 UTC,190.77
2025-06-10 17:45:00.000000 UTC,2025-06-10 18:00:00.000000 UTC,304.15
2025-06-10 18:00:00.000000 UTC,2025-06-10 18:15:00.000000 UTC,385.72
2025-06-10 18:15:00.000000 UTC,2025-06-10 18:30:00.000000 UTC,279.0
2025-06-10 18:30:00.000000 UTC,2025-06-10 18:45:00.000000 UTC,246.08
2025-06-10 18:45:00.000000 UTC,2025-06-10 19:00:00.000000 UTC,182.23
2025-06-10 19:00:00.000000 UTC,2025-06-10 19:15:00.000000 UTC,241.86
2025-06-10 19:15:00.000000 UTC,2025-06-10 19:30:00.000000 UTC,114.65
2025-06-10 19:30:00.000000 UTC,2025-06-10 19:45:00.000000 UTC,97.4
2025-06-10 19:45:00.000000 UTC,2025-06-10 20:00:00.000000 UTC,96.51
2025-06-10 20:00:00.000000 UTC,2025-06-10 20:15:00.000000 UTC,131.7
2025-06-10 20:15:00.000000 UTC,2025-06-10 20:30:00.000000 UTC,104.03
2025-06-10 20:30:00.000000 UTC,2025-06-10 20:45:00.000000 UTC,93.23
2025-06-10 20:45:00.000000 UTC,2025-06-10 21:00:00.000000 UTC,80.03
2025-06-10 21:00:00.000000 UTC,2025-06-10 21:15:00.000000 UTC,92.83
2025-06-10 21:15:00.000000 UTC,2025-06-10 21:30:00.000000 UTC,91.09
2025-06-10 21:30:00.000000 UTC,2025-06-10 21:45:00.000000 UTC,82.03
2025-06-10 21:45:00.000000 UTC,2025-06-10 22:00:00.000000 UTC,76.94
2025-06-10 22:00:00.000000 UTC,2025-06-10 22:15:00.000000 UTC,102.08
2025-06-10 22:15:00.000000 UTC,2025-06-10 22:30:00.000000 UTC,99.65
2025-06-10 22:30:00.000000 UTC,2025-06-10 22:45:00.000000 UTC,80.01
2025-06-10 22:45:00.000000 UTC,2025-06-10 23:00:00.000000 UTC,71.48
2025-06-10 23:00:00.000000 UTC,2025-06-10 23:15:00.000000 UTC,89.88
2025-06-10 23:15:00.000000 UTC,2025-06-10 23:30:00.000000 UTC,84.46
2025-06-10 23:30:00.000000 UTC,2025-06-10 23:45:00.000000 UTC,80.91
2025-06-10 23:45:00.000000 UTC,2025-06-11 00:00:00.000000 UTC,73.14
2025-06-11 00:00:00.000000 UTC,2025-06-11 00:15:00.000000 UTC,86.36
