delivery_start__utc_,delivery_end__utc_,price__euro_per_mwh_
2025-06-07 18:00:00.000000 UTC,2025-06-07 18:15:00.000000 UTC,151.31
2025-06-07 18:15:00.000000 UTC,2025-06-07 18:30:00.000000 UTC,148.32
2025-06-07 18:30:00.000000 UTC,2025-06-07 18:45:00.000000 UTC,133.51
2025-06-07 18:45:00.000000 UTC,2025-06-07 19:00:00.000000 UTC,102.67
2025-06-07 19:00:00.000000 UTC,2025-06-07 19:15:00.000000 UTC,154.55
2025-06-07 19:15:00.000000 UTC,2025-06-07 19:30:00.000000 UTC,118.02
2025-06-07 19:30:00.000000 UTC,2025-06-07 19:45:00.000000 UTC,93.34
2025-06-07 19:45:00.000000 UTC,2025-06-07 20:00:00.000000 UTC,96.92
2025-06-07 20:00:00.000000 UTC,2025-06-07 20:15:00.000000 UTC,123.39
2025-06-07 20:15:00.000000 UTC,2025-06-07 20:30:00.000000 UTC,127.86
2025-06-07 20:30:00.000000 UTC,2025-06-07 20:45:00.000000 UTC,94.08
2025-06-07 20:45:00.000000 UTC,2025-06-07 21:00:00.000000 UTC,99.25
2025-06-07 21:00:00.000000 UTC,2025-06-07 21:15:00.000000 UTC,148.13
2025-06-07 21:15:00.000000 UTC,2025-06-07 21:30:00.000000 UTC,142.75
2025-06-07 21:30:00.000000 UTC,2025-06-07 21:45:00.000000 UTC,90.24
2025-06-07 21:45:00.000000 UTC,2025-06-07 22:00:00.000000 UTC,81.06
2025-06-07 22:00:00.000000 UTC,2025-06-07 22:15:00.000000 UTC,94.9
2025-06-07 22:15:00.000000 UTC,2025-06-07 22:30:00.000000 UTC,99.16
2025-06-07 22:30:00.000000 UTC,2025-06-07 22:45:00.000000 UTC,109.4
2025-06-07 22:45:00.000000 UTC,2025-06-07 23:00:00.000000 UTC,93.68
2025-06-07 23:00:00.000000 UTC,2025-06-07 23:15:00.000000 UTC,107.59
2025-06-07 23:15:00.000000 UTC,2025-06-07 23:30:00.000000 UTC,108.99
2025-06-07 23:30:00.000000 UTC,2025-06-07 23:45:00.000000 UTC,110.99
2025-06-07 23:45:00.000000 UTC,2025-06-08 00:00:00.000000 UTC,107.53
2025-06-08 00:00:00.000000 UTC,2025-06-08 00:15:00.000000 UTC,111.78
2025-06-08 00:15:00.000000 UTC,2025-06-08 00:30:00.000000 UTC,102.02
2025-06-08 00:30:00.000000 UTC,2025-06-08 00:45:00.000000 UTC,103.3
2025-06-08 00:45:00.000000 UTC,2025-06-08 01:00:00.000000 UTC,101.4
2025-06-08 01:00:00.000000 UTC,2025-06-08 01:15:00.000000 UTC,92.92
2025-06-08 01:15:00.000000 UTC,2025-06-08 01:30:00.000000 UTC,85.79
2025-06-08 01:30:00.000000 UTC,2025-06-08 01:45:00.000000 UTC,79.61
2025-06-08 01:45:00.000000 UTC,2025-06-08 02:00:00.000000 UTC,73.88
2025-06-08 02:00:00.000000 UTC,2025-06-08 02:15:00.000000 UTC,78.21
2025-06-08 02:15:00.000000 UTC,2025-06-08 02:30:00.000000 UTC,84.57
2025-06-08 02:30:00.000000 UTC,2025-06-08 02:45:00.000000 UTC,92.53
2025-06-08 02:45:00.000000 UTC,2025-06-08 03:00:00.000000 UTC,74.42
2025-06-08 03:00:00.000000 UTC,2025-06-08 03:15:00.000000 UTC,85.95
